Id of contact section,Icon used from font-awesome 4 to label this contact section,The actual value written for the contact entry
loc,icon,skill
prog,chart-bar,"**Programming:** R, tidyverse, ggplot, Rmarkdown, Shiny, SQL, Git"
comm,edit,"**Communications:** Scientific writing & editing, data visualization & reporting"
proj_mgmt,project-diagram,"**Project Management:** Coordinating teams, organizing data & metadata, building communities"
